img\1.png,"Drop the books, grab some fries, studying is for the wise guys.",icon\1.png,icon\1.png,#3b82f6
img\2.png,"Ditch the notes, take a stroll, learning's for those with a serious goal.",icon\2.png,icon\2.png,#a03bf6
img\3.png,"Hide the homework, watch a show, knowledge is for those who know.",icon\3.png,icon\3.png,#f6c84a
img\4.png,"Lock the textbooks, find some joy, studying's just a decoy.",icon\4.png,icon\4.png,#34d399
img\5.png,"Toss the papers, let’s have fun, hitting the books is for everyone else under the sun.",icon\5.png,icon\5.png,#f59e0b
img\6.png,"Close the laptop, grab a snack, education's always got your back.",icon\6.png,icon\6.png,#8b5cf6
img\7.png,"Skip the lecture, ride a bike, schoolwork's not our type.",icon\7.png,icon\7.png,#ec4899
img\8.png,"Turn off Zoom, take a nap, academia's for those who like the trap.",icon\8.png,icon\8.png,#3b82f6
img\9.png,"Stash the assignments, play a game, serious students put us all to shame.",icon\9.png,icon\9.png,#10b981
img\10.png,"Ignore the syllabus, sing a song, academia all day long!",icon\10.png,icon\10.png,#f97316
img\11.png,"Forget the class, let's build a fort, learning's for the serious sort.",icon\11.png,icon\11.png,#4b5563
img\12.png,"Dismiss the lesson, take a dive, schoolwork is for the hive.",icon\12.png,icon\12.png,#6ee7b7
img\13.png,"Postpone the study, have a blast, academic worries are so vast.",icon\13.png,icon\13.png,#9333ea
img\14.png,"Delay the project, take a nap, education’s got a boring map.",icon\14.png,icon\14.png,#fbbf24
img\15.png,"Skip the research, chase a cloud, academia's for the overly proud.",icon\15.png,icon\15.png,#7c3aed
img\16.png,"Abandon the task, hit the town, studies are a serious clown.",icon\16.png,icon\16.png,#fca5a1
img\17.png,"Ignore the quiz, catch a flick, school’s a serious stick.",icon\17.png,icon\17.png,#a5b4fc
img\18.png,"Close the chapters, enjoy the sun, learning's for those who call it fun.",icon\18.png,icon\18.png,#facc15
img\19.png,"Forget the terms, let's dance, academics are for those who take a stance.",icon\19.png,icon\19.png,#34d399
img\20.png,"Cancel the homework, hit the beat, education’s for those who never skip a beat.",icon\20.png,icon\20.png,#eab308
